ID,Case Number,Place,PlaceID,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic
13514033,JH327561,East Hampton,80,006XX N KEDZIE AVE,0560,ASSAULT,SIMPLE,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,False,False
13514553,JH329108,Bristol,9,048XX W WOLFRAM ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False
13510625,JH324575,Cheshire,15,074XX S CHAMPLAIN AVE,0810,THEFT,OVER $500,STREET,False,False
13515947,JH330860,Canaan,35,018XX W 17TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False
13512549,JH326863,Goshen,84,096XX S BISHOP ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False
13512607,JH326884,Essex,40,105XX S MICHIGAN AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False
13511996,JH326191,Lyme,42,039XX W CULLOM AVE,0810,THEFT,OVER $500,STREET,False,False
13512970,JH327502,Bethlehem,12,035XX N CLARK ST,0810,THEFT,OVER $500,BAR OR TAVERN,False,False
13513418,JH327801,Bolton,77,006XX N SAWYER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True
13513893,JH328460,Killingly,13,029XX W JARVIS AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False
13514699,JH329115,New London,82,033XX W 60TH PL,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False
13511499,JH325555,Kent,10,047XX S WABASH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True
13510448,JH324348,Chester,83,068XX N SHERIDAN RD,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,SMALL RETAIL STORE,False,False
13512918,JH327287,Meriden,32,006XX S INDEPENDENCE BLVD,0810,THEFT,OVER $500,GAS STATION,False,False
13512050,JH326124,Branford,11,039XX W 68TH ST,0560,ASSAULT,SIMPLE,STREET,False,False
13517003,JH327068,Marlborough,62,057XX S KILPATRICK AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,AIRPORT PARKING LOT,False,False
13512253,JH326459,Chaplin,53,005XX E 51ST ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,HOSPITAL BUILDING / GROUNDS,False,False
13513010,JH326319,Stamford,73,004XX N MAYFIELD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13511597,JH325716,Deep River,54,098XX S EWING AVE,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,RESIDENCE,False,True
13510089,JH324113,Brookfield,18,082XX S VERNON AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - GARAGE,False,False
13511998,JH326010,Coventry,48,039XX W MONTROSE AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,False
13516621,JH331645,Cheshire,15,032XX W 66TH ST,0810,THEFT,OVER $500,RESIDENCE,False,True
13512536,JH326930,New Britain,56,014XX N HUMBOLDT DR,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER (SPECIFY),False,False
13512366,JH326215,Meriden,32,012XX W EARLY AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,False
13510616,JH324573,Berlin,24,057XX N WASHTENAW AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False
13517483,JH332694,Enfield,39,004XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False
13518065,JH332667,East Granby,14,017XX W SUNNYSIDE AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False
13510250,JH323722,Preston,78,066XX S TALMAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True
13513358,JH328008,Enfield,39,032XX N SHEFFIELD AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False
13511557,JH325697,Coventry,48,030XX S PRINCETON AVE,0460,BATTERY,SIMPLE,ALLEY,True,False
13510331,JH323896,Guilford,21,003XX E ILLINOIS ST,0460,BATTERY,SIMPLE,RESTAURANT,False,False
13515611,JH325532,Lyme,42,018XX W EVERGREEN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False
13513763,JH328121,Litchfield,59,122XX S PEORIA ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False
13514117,JH328118,Bethany,38,020XX W DEVON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13513028,JH327321,Goshen,84,010XX W CERMAK RD,1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,STREET,False,False
13512855,JH327210,Groton,1,010XX W ARDMORE AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False
13511947,JH326012,Manchester,5,079XX S KIMBARK AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,True,True
13512919,JH327344,Ridgefield,65,039XX W OGDEN AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False
13513595,JH328159,Canton,29,032XX N CLARK ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False
13511186,JH325436,Greenwich,2,075XX S WESTERN AVE,0810,THEFT,OVER $500,STREET,False,False
13512153,JH326464,Bridgeport,45,057XX S ARCHER AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER (SPECIFY),False,False
13512332,JH326753,Morris,75,042XX S PRINCETON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False
13511914,JH326178,New Canaan,66,024XX N PARKSIDE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,True
13511911,JH326181,Middletown,60,024XX N KEDZIE BLVD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False
13513238,JH327786,Griswold,4,075XX S WINCHESTER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13510459,JH324405,Hamden,57,009XX N LARAMIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True
13510263,JH324197,Fairfield,52,019XX W IRVING PARK RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False
13511496,JH325535,Beacon Falls,25,108XX S EBERHART AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,RESIDENCE - PORCH / HALLWAY,True,False
13512826,JH327316,Hampton,74,040XX N SAWYER AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE - GARAGE,False,False
13512306,JH326589,Bozrah,43,001XX S HALSTED ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False
13513095,JH327539,Hartford,16,084XX S WABASH AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,False,False
13512629,JH326958,Bridgeport,45,008XX W 60TH ST,0810,THEFT,OVER $500,STREET,False,False
13513203,JH327790,Bethany,38,014XX W RANDOLPH ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False
13515084,JH329723,Cheshire,15,121XX S INDIANA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,False,False
13512090,JH326429,East Haddam,49,046XX N ELSTON AVE,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,False,False
13511804,JH326069,East Windsor,3,014XX S HALSTED ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False
13515514,JH330534,Granby,81,014XX N KINGSBURY ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False
13512778,JH327221,Ellington,63,032XX W BEACH AVE,0810,THEFT,OVER $500,STREET,False,False
13513939,JH328593,Ellington,63,096XX S HALSTED ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False
13512775,JH326209,Granby,81,071XX S RIDGEWAY AVE,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,RESIDENCE,False,True
13512558,JH324353,Bethlehem,12,041XX S CAMPBELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True
13512394,JH326648,East Granby,14,015XX S FAIRFIELD AVE,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,False,False
13512273,JH326528,Canaan,35,006XX W WAVELAND AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,GROCERY FOOD STORE,False,True
13521265,JH337107,Lyme,42,044XX N KILBOURN AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False
13513562,JH328052,Lyme,42,048XX S MARSHFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True
13511672,JH325860,Fairfield,52,006XX E 103RD PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13513341,JH327681,Cromwell,44,008XX W NEWPORT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True
13511742,JH325993,Brookfield,18,0000X E MONROE ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False
13513320,JH327963,Chaplin,53,041XX W WASHINGTON BLVD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True
13510133,JH324129,Kent,10,053XX N NATCHEZ AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False
13514008,JH327264,Goshen,84,002XX W CERMAK RD,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False
13512183,JH326450,Burlington,19,002XX S LARAMIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,True,False
13511658,JH324798,Haddam,55,023XX S WENTWORTH AVE,0460,BATTERY,SIMPLE,RESTAURANT,False,False
13513447,JH328025,Marlborough,62,051XX W MONTROSE AVE,0460,BATTERY,SIMPLE,SIDEWALK,True,False
